Bounding Billow	Bark	2	60	2
Bourbon	Bark	1	22	1
Bra(h)min	Bark	6	73	134
Bra(h)min	Ship	1	1	25
Braganza	Bark	3	89	7
Braganza	Ship	5	72	149
Brandt	Ship	8	106	114
Breakwater	Ship	1	18	1
Brewster	Bark	1	28	1
Brewster	Ship	3	75	30
Brighton	Bark	1	30	35
Brighton	Ship	4	68	160
Britannia	Brig	1	8	1
Brookline	Ship	4	127	3
Bruce	Bark	6	40	91
Brunette	Bark	1	5	1
Brunswick	Ship	8	83	205
By Chance	Ship	3	44	0
Byron	Bark	1	23	27
C. C. Comstock	Schr	1	9	1
Cachalot	Bark	4	19	97
Cachalot	Ship	1	22	24
Cadmus	Bark	2	48	1
Cadmus	Ship	1	22	1
Caleb Eaton	Schr	2	43	2
Caledonia	Ship	5	134	6
California	Bark	1	34	1
California	Ship	12	237	195
Callao	Bark	5	135	38
Callao	Ship	5	77	122
Cambria	Bark	1	23	1
Cambria	Ship	5	31	176
Cameo	Schr	5	35	64
Camilla	Bark	4	104	59
Camillus	Bark	1	23	1
Canada	Ship	4	95	113
Candace	Bark	3	76	3
Candace	Ship	6	169	6
Canton I	Bark	5	135	5
Canton I	Ship	4	59	96
Canton II	Bark	20	538	170
Canton II	Ship	3	44	26
Canton Packet	Bark	7	121	137
Cape Horn Pigeon	Bark	8	197	34
Cape Horn Pigeon	Ship	1	22	24
Caravan	ship	4	139	89
Carleton Bell	Schr	4	62	14
Carolina	Ship	2	31	69
Caroline 	Ship	1	0	27
Caroline	Schr	2	22	24
Caroline	Ship	3	30	133
Catalpa	Bark	5	117	56
Catharine	Bark	1	54	2
Catharine	Ship	7	196	7
Catherwood	Bark	1	0	25
Catherwood	Brig	5	22	132
Cavalier	Bark	4	122	41
Ceres	Bark	8	186	6
Ceres	Ship	1	30	0
Cervantes	Bark	2	48	1
Champion	Bark	9	62	221
Champion	Ship	5	35	178
Chandler Price	Ship	5	63	137
Charles Adams	Ship	4	118	5
Charles and Edward	Bark	3	53	51
Charles and Edward	Schr	1	20	21
Charles Carroll	Bark	1	31	1
Charles Carroll	Ship	4	111	3
Charles Colgate	Schooner	9	143	9
Charles Drew	Schooner	2	57	0
Charles Drew	Ship	4	55	91
Charles Frederick	Ship	4	3	120
Charles H. Hodgdon	Schr	4	74	4
Charles Henry	Ship	4	98	4
Charles Phelps	Ship	1	27	0
Charles W. Morgan	Bark	13	305	107
Charles W. Morgan	Ship	7	81	165
Charles W. Morse	Bark	1	21	0
Charles W. Morse	Schr	5	111	4
Charles	Ship	12	252	30
Charleston Packet	Bark	6	4	158
Charleston Packet	Brig	2	41	2
Charleston Packet	Schr	1	16	0
Chase	Bark	5	45	84
Chase	Brig	1	0	21
Chelsea	Ship	8	226	8
Cherokee	Bark	8	72	181
Chile	Schooner	1	9	1
Chili	Bark	3	48	55
Chili	Schooner	5	163	6
Chili	Ship	3	43	156
China	Bark	6	175	6
China	Ship	7	86	199
Christopher Mitchell	Ship	3	41	68
Cicero	Bark	5	134	6
Cicero	Ship	10	119	194
Citizen	Ship	1	1	31
City	Ship	2	0	53
Clara Bell	Bark	3	16	46
Clara L. Sparks	Schr	1	16	1
Clarice	Bark	8	82	109
Claudia	Schr	3	0	42
Clematis	Ship	11	316	9
Clement	Bark	4	114	4
Clement	Ship	1	28	0
Cleone 	Bark	1	26	4
Cleone	Bark	5	120	58
Cleone	Ship	1	0	29
Cleora	Bark	4	56	49
Clifford Wayne	Ship	5	69	161
Clitus	Ship	1	9	1
Cohannet	Schr	9	140	9
Cohannet	Ship	1	16	1
Colossus	Schooner	1	8	1
Columbia	Ship	4	115	4
Columbus	Bark	5	69	94
Columbus	Brig	7	157	7
Columbus	Ship	22	409	174
Commodore Decatur	Ship	8	165	8
Commodore Morris	Bark	3	94	3
Commodore Morris	Ship	1	30	1
Commodore Morris	ship	1	33	1
Commodore Morris	Ship	1	33	1
Commodore Perry	Ship	15	368	16
Commodore Rodgers	Ship	8	173	0
Concordia	Bark	3	69	3
Condor	Bark	6	167	6
Condor	Ship	7	34	232
Congaree	Bark	2	56	34
Congaree	Ship	2	0	60
Congress II	Bark	1	28	1
Congress II	Ship	4	71	123
Congress	Bark	1	24	1
Congress	Ship	8	83	193
Connecticut	Bark Ship	2	49	2
Connecticut	Bark	3	76	3
Connecticut	Ship	9	254	9
